ScannerPro Engine data log recorded on 01/28/2013 19:38:01,,,,,,,
,Time,RPM,Manifold Pressure,TPS Angle,Idle Switch,Injector PW,
Sample #,Seconds,RPM,mBar,degrees,,ms,us
1,0,1078,27,10.29,Idle,1.96,1960
2,0.127,1078,27,10.29,Idle,1.96,1960
3,0.255,1081,325,10.29,Idle,1.28,1280
4,0.383,1081,325,10.29,Idle,1.28,1280
5,0.51,1081,325,10.29,Idle,1.28,1280
6,0.638,1080,325,10.29,Idle,1.28,1280
7,0.766,1080,325,10.29,Open,1.28,1280
8,0.893,1076,325,10.29,Open,1.25,1250
9,1.037,1076,325,10.29,Open,1.25,1250
10,1.165,1076,325,10.29,Open,1.25,1250
11,1.308,1079,325,10.29,Open,1.28,1280
12,1.436,1079,325,10.29,Open,1.28,1280
13,1.564,1079,325,10.29,Open,1.28,1280
14,1.691,1078,325,10.29,Open,1.25,1250
15,1.819,1078,325,10.29,Open,1.25,1250
16,1.947,1077,325,10.29,Open,1.25,1250
17,2.074,1077,325,10.29,Open,1.25,1250
18,2.202,1077,325,10.29,Open,1.25,1250
19,2.33,1079,325,10.29,Open,1.28,1280
20,2.457,1079,325,10.29,Open,1.28,1280
21,2.585,1079,325,10.29,Open,1.28,1280
22,2.713,1078,325,10.29,Open,1.25,1250
23,2.84,1078,325,10.29,Open,1.25,1250
24,2.968,1078,325,10.29,Open,1.25,1250
25,3.112,1078,325,10.29,Open,1.25,1250
26,3.239,1078,325,10.29,Open,1.25,1250
27,3.367,1079,325,10.29,Open,1.25,1250
28,3.495,1079,325,10.29,Open,1.25,1250
29,3.622,1079,325,10.29,Open,1.25,1250
30,3.75,1079,325,10.29,Open,1.25,1250
31,3.878,1079,325,10.29,Open,1.25,1250
32,4.021,1078,325,10.29,Open,1.28,1280
33,4.15,1078,325,10.29,Open,1.28,1280
34,4.277,1078,325,10.29,Open,1.28,1280
35,4.404,1078,325,10.29,Open,1.28,1280
36,4.532,1078,325,10.29,Open,1.28,1280
37,4.66,1078,325,10.29,Open,1.28,1280
38,4.803,1080,325,10.29,Open,1.25,1250
39,4.946,1080,325,10.29,Open,1.25,1250
40,5.075,1081,325,10.29,Open,1.25,1250
41,5.202,1081,325,10.29,Open,1.25,1250
