Rigol Technologies,Inc. Save analog waveform to excel files.,,,,,
Vpp[V]:2.00E01,Period[S]:1.67E-02,Quantify:32,Data Dots:3600,Max Dots:3600,End:3599,Wave:1
,,,,,,
X,Y[V],,,,,
1,1.00E+00,,,,,
2,1.00E+00,,,,,
3,1.00E+00,,,,,
4,1.00E+00,,,,,
5,1.00E+00,,,,,
6,1.00E+00,,,,,
7,1.00E+00,,,,,
8,1.00E+00,,,,,
9,1.00E+00,,,,,
10,1.00E+00,,,,,
11,1.00E+00,,,,,
12,1.00E+00,,,,,
13,1.00E+00,,,,,
14,1.00E+00,,,,,
15,1.00E+00,,,,,
16,1.00E+00,,,,,
17,1.00E+00,,,,,
18,1.00E+00,,,,,
19,1.00E+00,,,,,
20,1.00E+00,,,,,
21,1.00E+00,,,,,
22,1.00E+00,,,,,
23,1.00E+00,,,,,
24,1.00E+00,,,,,
25,1.00E+00,,,,,
26,1.00E+00,,,,,
27,1.00E+00,,,,,
28,1.00E+00,,,,,
29,1.00E+00,,,,,
30,1.00E+00,,,,,
31,1.00E+00,,,,,
32,1.00E+00,,,,,
33,1.00E+00,,,,,
34,1.00E+00,,,,,
35,1.00E+00,,,,,
36,1.00E+00,,,,,
37,1.00E+00,,,,,
38,1.00E+00,,,,,
39,1.00E+00,,,,,
40,1.00E+00,,,,,
41,1.00E+00,,,,,
42,1.00E+00,,,,,
43,1.00E+00,,,,,
44,1.00E+00,,,,,
45,1.00E+00,,,,,
46,1.00E+00,,,,,
47,1.00E+00,,,,,
48,1.00E+00,,,,,
49,1.00E+00,,,,,
50,1.00E+00,,,,,
51,0.00E+00,,,,,
52,0.00E+00,,,,,
53,0.00E+00,,,,,
54,0.00E+00,,,,,
55,0.00E+00,,,,,
56,0.00E+00,,,,,
57,0.00E+00,,,,,
58,0.00E+00,,,,,
59,0.00E+00,,,,,
60,0.00E+00,,,,,
61,0.00E+00,,,,,
62,0.00E+00,,,,,
63,0.00E+00,,,,,
64,0.00E+00,,,,,
65,0.00E+00,,,,,
66,0.00E+00,,,,,
67,0.00E+00,,,,,
68,0.00E+00,,,,,
69,0.00E+00,,,,,
70,0.00E+00,,,,,
71,0.00E+00,,,,,
72,0.00E+00,,,,,
73,0.00E+00,,,,,
74,0.00E+00,,,,,
75,0.00E+00,,,,,
76,0.00E+00,,,,,
77,0.00E+00,,,,,
78,0.00E+00,,,,,
79,0.00E+00,,,,,
80,0.00E+00,,,,,
81,0.00E+00,,,,,
82,0.00E+00,,,,,
83,0.00E+00,,,,,
84,0.00E+00,,,,,
85,0.00E+00,,,,,
86,0.00E+00,,,,,
87,0.00E+00,,,,,
88,0.00E+00,,,,,
89,0.00E+00,,,,,
90,0.00E+00,,,,,
91,0.00E+00,,,,,
92,0.00E+00,,,,,
93,0.00E+00,,,,,
94,0.00E+00,,,,,
95,0.00E+00,,,,,
96,0.00E+00,,,,,
97,0.00E+00,,,,,
98,0.00E+00,,,,,
99,0.00E+00,,,,,
100,0.00E+00,,,,,
101,1.00E+00,,,,,
102,1.00E+00,,,,,
103,1.00E+00,,,,,
104,1.00E+00,,,,,
105,1.00E+00,,,,,
106,1.00E+00,,,,,
107,1.00E+00,,,,,
108,1.00E+00,,,,,
109,1.00E+00,,,,,
110,1.00E+00,,,,,
111,1.00E+00,,,,,
112,1.00E+00,,,,,
113,1.00E+00,,,,,
114,1.00E+00,,,,,
115,1.00E+00,,,,,
116,1.00E+00,,,,,
117,1.00E+00,,,,,
118,1.00E+00,,,,,
119,1.00E+00,,,,,
120,1.00E+00,,,,,
121,1.00E+00,,,,,
122,1.00E+00,,,,,
123,1.00E+00,,,,,
124,1.00E+00,,,,,
125,1.00E+00,,,,,
126,1.00E+00,,,,,
127,1.00E+00,,,,,
128,1.00E+00,,,,,
129,1.00E+00,,,,,
130,1.00E+00,,,,,
131,1.00E+00,,,,,
132,1.00E+00,,,,,
133,1.00E+00,,,,,
134,1.00E+00,,,,,
135,1.00E+00,,,,,
136,1.00E+00,,,,,
137,1.00E+00,,,,,
138,1.00E+00,,,,,
139,1.00E+00,,,,,
140,1.00E+00,,,,,
141,1.00E+00,,,,,
142,1.00E+00,,,,,
143,1.00E+00,,,,,
